text,label
J'ai reçu un compliment qui m'a rendu heureux,positif
Cette belle surprise a illuminé ma journée,positif
Je me sens chanceux et reconnaissant pour ma famille,positif
Le moment passé ensemble était magique,positif
Je suis fier de mes efforts constants et de mes résultats,positif
Cette expérience m'a rendu heureux,positif
Je suis satisfait de mes progrès,positif
Rien ne peut gâcher mon humeur aujourd'hui,positif
J'ai apprécié chaque moment de cette journée,positif
Je suis ravi de commencer cette nouvelle journée,positif
Quel plaisir de recevoir ce message inattendu,positif
Je me sens motivé et plein d'énergie,positif
J'ai accompli toutes mes tâches et je suis satisfait,positif
Cette réussite me rend fier et heureux,positif
Je me sens optimiste pour l'avenir,positif
Le soleil brille et cela illumine mon moral,positif
J'ai passé un moment incroyable avec mes amis,positif
Je suis reconnaissant pour tous les petits bonheurs,positif
Cette journée est merveilleuse et je profite pleinement,positif
Je suis excité à l'idée de ce qui va arriver,positif
Le ciel est gris et je me sens triste,négatif
Je n'arrive pas à accomplir ce que je voulais,négatif
Cette situation me rend mal à l'aise,négatif
Je me sens frustré par ce résultat,négatif
Rien ne semble aller comme je le veux,négatif
Je suis fatigué et démotivé,négatif
Je me sens seul et abandonné,négatif
Je n'arrive pas à trouver de solution,négatif
Je regrette mes choix,négatif
Cette journée est un vrai désastre,négatif
Je me sens triste et fatigué,négatif
Rien ne se passe comme je veux,négatif
Je suis déçu par cette situation,négatif
Je n'arrive pas à me concentrer,négatif
Je me sens stressé et inquiet,négatif
C'est vraiment frustrant,négatif
Je n'aime pas ce qui se passe,négatif
Je me sens seul et perdu,négatif
Cette journée est horrible,négatif
Je regrette mes décisions,négatif
Je suis énervé et agacé,négatif
Tout va mal aujourd'hui,négatif
Je me sens découragé,négatif
Je n'ai pas envie de faire quoi que ce soit,négatif
Rien ne m'amuse,négatif
Je suis fatigué et abattu,négatif
Je me sens incompris,négatif
C'est une mauvaise expérience,négatif
Je ne me sens pas bien,négatif
Je suis triste et découragé,négatif
Rien ne semble fonctionner aujourd'hui,négatif
Je me sens frustré et fatigué,négatif
Cette situation me rend malheureux,négatif
Je n'arrive pas à gérer mes émotions,négatif
Je suis anxieux et inquiet,négatif
Tout semble aller de travers,négatif
Je me sens seul et abandonné,négatif
Je regrette ce que j'ai fait,négatif
Cette journée est épuisante et stressante,négatif
Je me sens seul et incompris aujourd'hui,négatif
Je n'arrive pas à résoudre ce problème et je suis frustré,négatif
Rien ne semble se passer comme je le veux je suis découragé,négatif
Je suis épuisé par cette longue journée stressante,négatif
Cette situation m'a rendu triste et abattu,négatif
Je me sens isolé et perdu sans soutien,négatif
J'ai peur de ne pas réussir ce que j'entreprends,négatif
Tout semble s'effondrer autour de moi je suis désespéré,négatif
Je regrette mes décisions passées et je me sens coupable,négatif
Cette expérience a été décevante et m'a rendu triste,négatif
Je me sens fatigué et démotivé,négatif
Rien ne se passe comme je le veux,négatif
Je suis frustré par mes échecs répétés,négatif
Cette situation me rend triste et découragé,négatif
Je me sens seul et incompris aujourd'hui,négatif
Tout semble aller de travers et je suis anxieux,négatif
Je regrette mes choix et je suis abattu,négatif
Cette expérience m'a profondément déçu,négatif
Je me sens épuisé par tous ces problèmes,négatif
Cette journée est horrible et rien ne va,négatif
Je me sens triste et démotivé,négatif
Rien ne semble aller comme je le voulais,négatif
Cette journée est longue et fatigante,négatif
Je n'arrive pas à avancer dans mes projets,négatif
Je suis frustré par cette situation,négatif
Tout me semble compliqué et stressant,négatif
Je me sens seul et incompris,négatif
Je n'ai pas réussi ce que je voulais,négatif
Cette expérience m'a déçu et attristé,négatif
Je me sens découragé face aux obstacles,négatif
J'ai fait des erreurs et je regrette,négatif
Rien ne me satisfait aujourd'hui,négatif
Je suis fatigué et sans énergie,négatif
Je me sens anxieux et inquiet,négatif
Cette situation me rend malheureux,négatif
>>>>>>> 035323a6 (Version final avec l'entrainement du modele etc...)
